state_de,state_en,x,y
Schleswig-Holstein,Schleswig-Holstein,-20,216
Hamburg,Hamburg,-5,166
Bremen,Bremen,-80,136
Niedersachsen,Lower Saxony,-75,116
Mecklenburg-Vorpommern,Mecklenburg-Western Pomerania,105,181
Brandenburg,Brandenburg,135,71
Berlin,Berlin,145,96
Sachsen-Anhalt,Saxony-Anhalt,50,51
Nordrhein-Westfalen,North Rhine-Westphalia,-140,21
Sachsen,Saxony,145,-21
Thüringen,Thuringia,30,-29
Hessen,Hesse,-65,-49
Rheinland-Pfalz,Rhineland-Palatinate,-170,-99
Saarland,Saarland,-170,-129
Baden-Württemberg,Baden-Württemberg,-80,-204
Bayern,Bavaria,65,-144
